"frame","meanBase","meanPPAO","meanPPDP","meanComb","rawBase2","rawBase3","rawBase4","rawBase5","rawBase6","rawPPAO2","rawPPAO3","rawPPAO4","rawPPAO5","rawPPAO6","rawPPDP2","rawPPDP3","rawPPDP4","rawPPDP5","rawPPDP6","rawComb2","rawComb3","rawComb4","rawComb5","rawComb6"
14,107.093954468,25.04131469728,11.27547893524,11.68133449554,105.708259583,109.420898438,107.039039612,106.908683777,106.39289093,24.274356842,24.8897094727,25.6821231842,24.7572975159,25.6030864716,10.9916677475,10.8258972168,11.2472515106,11.8348903656,11.4776878357,11.6665534973,11.6080465317,11.6721992493,11.4453554153,12.0145177841
15,107.103501892,24.92399139406,11.33316516876,11.67815246584,105.301269531,109.089363098,107.776542664,108.149139404,105.201194763,24.9697704315,24.4832363129,25.7739887238,24.7927093506,24.6002521515,10.9962863922,11.1743745804,11.4017314911,11.8066635132,11.2867698669,11.6932411194,11.5993213654,11.5131006241,11.8508005142,11.7342987061
16,105.6512878416,24.28472328188,11.25474452972,11.8461812973,104.727493286,105.005653381,106.512985229,104.791641235,107.218666077,24.0613689423,24.1783828735,24.4036884308,24.735742569,24.0444335938,11.4325246811,11.3355255127,11.1502523422,11.0588989258,11.2965211868,11.945233345,11.7810020447,11.8184671402,11.8728685379,11.8133354187
17,108.6324905394,23.39099884032,11.30360336304,11.67794742584,111.843307495,107.489135742,106.310775757,107.91973114,109.599502563,23.415222168,23.3218173981,23.2119865417,24.0264701843,22.9794979095,11.1302375793,11.3221817017,11.4376573563,11.1502523422,11.4776878357,11.6408929825,11.6136922836,11.6619348526,11.814874649,11.6583423615
18,108.9428878784,23.94599685668,11.29590511322,11.53496379852,108.410369873,108.139900208,107.182228088,108.77116394,112.210777283,24.3728942871,24.1219291687,23.370059967,24.4996604919,23.3654403687,11.238527298,11.3745307922,11.156411171,10.9875612259,11.722495079,11.4017314911,11.6506443024,11.4586992264,11.5710945129,11.5926494598
19,108.9898971556,24.22149391174,11.36857738494,11.6454088211,109.265396118,105.578407288,108.491455078,110.433486938,111.180740356,24.2030181885,24.0367336273,24.4868297577,24.209690094,24.1711978912,11.4679374695,11.8087158203,11.2893362045,11.0009050369,11.2759923935,11.5490255356,11.8359165192,11.6521835327,11.498216629,11.691701889
20,107.2829208374,23.46603202818,11.21050510406,11.62477760316,108.096786499,107.556365967,107.964889526,105.396217346,107.400344849,23.6123008728,23.5158138275,23.3844299316,23.1545066833,23.6631088257,11.0932855606,11.0937986374,11.2067070007,11.3232088089,11.3355255127,11.6757917404,11.7430238724,11.7055587769,11.5957288742,11.4037847519
21,107.6871368408,23.15460891726,11.4887735367,11.81918582918,106.586380005,108.892799377,106.687995911,108.995437622,107.273071289,23.1421890259,22.9307422638,22.9153442383,23.3295154572,23.4552536011,11.0542802811,12.0658397675,11.7373781204,11.231341362,11.3550281525,12.1335849762,11.6757917404,11.8856992722,11.6788711548,11.7219820023
22,108.8660079958,24.59162940978,11.28646163938,11.73686523438,107.730865479,107.433708191,113.004730225,109.778106689,106.382629395,24.375459671,25.2551231384,25.0364894867,23.9936237335,24.2974510193,11.1897706985,11.2842035294,11.5002698898,11.1497392654,11.3083248138,11.8076896667,11.6547498703,11.8256521225,11.71479702,11.6814374924
23,109.063494873,23.73393325804,11.45726165772,11.70330066682,110.408340454,109.709335327,106.251243591,108.55355835,110.394996643,23.9484596252,23.4804019928,23.8145084381,23.7169971466,23.7092990875,11.342710495,11.7650918961,11.2806110382,11.5623693466,11.3355255127,11.7486696243,11.5397882462,11.6373004913,11.8164148331,11.7743301392
