"frame","meanBase","meanPPAO","meanPPDP","meanComb","rawBase2","rawBase3","rawPPAO2","rawPPAO3","rawPPDP2","rawPPDP3","rawComb2","rawComb3"
74,126.8653030395,37.3343067169,17.37357902525,19.236828804,127.404701233,126.325904846,37.4282264709,37.2403869629,17.3463783264,17.4007797241,18.8501167297,19.6235408783
75,128.1555442815,37.45850753785,17.99021434785,19.2504301071,127.915870667,128.395217896,37.7751655579,37.1418495178,17.7728652954,18.2075634003,19.118019104,19.3828411102
76,128.6277084355,37.33404922485,17.83008861545,19.4659824371,128.752929688,128.502487183,37.280418396,37.3876800537,17.7959594727,17.8642177582,19.2109107971,19.7210540771
77,129.956176758,37.58552742005,17.84625530245,19.9181308746,130.073959351,129.838394165,37.9496574402,37.2213973999,17.693315506,17.9991950989,19.9396858215,19.8965759277
78,130.115020752,38.24912452695,17.86652755735,19.4564886093,129.853790283,130.376251221,38.6291656494,37.8690834045,17.8231601715,17.9098949432,19.3813018799,19.5316753387
79,131.614654541,38.10439491275,17.72282600405,19.87476348875,131.856384277,131.372924805,37.0977096558,39.1110801697,17.5778408051,17.867811203,19.8786125183,19.8709144592
80,132.706542969,37.7962055206,18.08079719545,20.0251379013,133.00138855,132.411697388,37.7587394714,37.8336715698,18.130065918,18.0315284729,20.1388168335,19.9114589691
81,134.7642974855,38.4908504486,18.228348732,20.16730022435,135.25340271,134.275192261,38.8596000671,38.1221008301,18.3676891327,18.0890083313,20.0782566071,20.2563438416
82,135.7884368895,38.64635849,18.1893444061,20.27712917325,136.236221313,135.340652466,38.3001899719,38.9925270081,18.246055603,18.1326332092,20.4416160583,20.1126422882
83,137.235977173,38.46236801145,18.4367170334,20.42698955535,136.9634552,137.508499146,38.6086349487,38.3161010742,18.5237083435,18.3497257233,20.2455654144,20.6084136963
84,138.415611267,39.3397216797,18.71565246585,20.6504983902,139.043533325,137.787689209,39.9312095642,38.7482337952,18.5724639893,18.8588409424,20.6176528931,20.6833438873
85,139.3224716185,39.60787773135,18.41464805605,20.83833789825,138.893676758,139.751266479,39.4852180481,39.7305374146,18.3230381012,18.5062580109,20.4636859894,21.2129898071
86,141.65070343,41.4872970581,18.92812633515,21.1709051132,140.579101562,142.722305298,42.2935676575,40.6810264587,18.8963069916,18.9599456787,21.0990543365,21.2427558899
