"frame","meanBase","meanPPAO","meanPPDP","meanComb","rawBase2","rawBase3","rawBase4","rawBase5","rawBase6","rawPPAO2","rawPPAO3","rawPPAO4","rawPPAO5","rawPPAO6","rawPPDP2","rawPPDP3","rawPPDP4","rawPPDP5","rawPPDP6","rawComb2","rawComb3","rawComb4","rawComb5","rawComb6"
0,17.4169073105,11.6288236618,6.426733398438,5.869172286988,19.9277801514,16.5215454102,16.8751525879,15.9862585068,17.7737998962,11.5340833664,11.5022640228,11.929775238,11.8363695145,11.3416261673,6.44654369354,6.52660560608,6.24125623703,6.33671474457,6.58254671097,6.15298223495,5.97900104523,5.7988615036,5.65259408951,5.76242256165
1,17.86063613892,11.5136571884,6.603280735016,5.96411781311,20.1582145691,17.7589168549,17.1707668304,17.0321979523,17.1830844879,11.6854829788,11.3329019547,11.7547674179,11.3975667953,11.3975667953,6.565097332,6.62411737442,6.53892326355,6.50710344315,6.78116226196,5.87327814102,5.89175367355,5.86096096039,5.81374454498,6.38085174561
2,18.43585243226,12.11196784974,6.676978874206,6.24300107956,20.0083560944,18.8407821655,18.5241260529,17.0460548401,17.7599430084,11.9395265579,12.962884903,12.0780954361,12.0000858307,11.579246521,6.6092338562,6.65952968597,6.62822294235,6.82273292542,6.66517496109,6.09036970139,6.36391544342,6.55842542648,6.03853464127,6.16376018524
3,19.62847099304,13.6964799881,6.780341243744,6.281800365446,21.5233783722,20.2023525238,18.0493984222,19.9626789093,18.4045467377,13.3873167038,13.2256526947,14.2474718094,13.4016876221,14.2202711105,6.95155096054,6.85814523697,6.64926528931,6.67646551132,6.76627922058,6.65029144287,6.0518784523,6.19403982162,6.22226715088,6.29052495956
4,19.41096839906,14.13918304442,6.968384552002,6.378901290892,20.8957099915,19.2657279968,19.1363964081,18.9978275299,18.759180069,14.2490119934,13.6511116028,14.2413139343,14.3301000595,14.2243776321,6.87610769272,7.14452123642,6.77756977081,7.05265522003,6.99106884003,6.2802605629,6.22637271881,6.24946737289,6.58408641815,6.55431938171
5,21.33389739988,14.41745033264,7.229305171966,6.55308790207,22.1428337097,21.2056941986,22.4800186157,20.263425827,20.5775146484,14.600566864,13.8533201218,13.8138017654,15.065030098,14.754532814,7.02545452118,7.21996450424,7.21637201309,7.49248409271,7.19225072861,6.60461521149,6.76114702225,6.81041574478,6.30746126175,6.28180027008
6,21.97788391114,14.22232437134,7.333693981172,6.799638271334,23.0358333588,21.7142944336,21.135383606,22.2423973083,21.761510849,14.3762903214,13.7178297043,14.3706445694,14.4625110626,14.184346199,7.3015666008,7.31439685822,7.5391869545,7.17480134964,7.3385181427,6.92178440094,6.64105367661,6.69391536713,7.00646543503,6.73497247696
7,22.1425251007,15.74535331726,7.40256795883,6.845930671692,22.9167671204,22.0006713867,21.5254306793,21.5942020416,22.6755542755,16.781747818,16.4650917053,15.1897420883,15.0090894699,15.2810955048,7.24305963516,7.67724275589,7.48889160156,7.38727378845,7.21637201309,6.871489048,6.85096025467,6.80784988403,6.90946722031,6.78988695145
8,23.6071495056,16.64687347412,7.60426311493,7.063330173494,23.3827705383,23.7353515625,24.1336097717,23.7825679779,23.0014476776,17.1086673737,17.028093338,16.4748420715,15.8189487457,16.8038158417,7.49710273743,7.43910932541,7.65260839462,7.89022874832,7.54226636887,6.98029136658,7.03674554825,6.94385290146,7.05162858963,7.30413246155
9,24.48660125734,18.65201988218,7.885712242126,7.379575634002,24.3984298706,23.9934997559,24.0027389526,24.6006393433,25.4376983643,19.3452758789,18.7386512756,19.3155097961,17.1214981079,18.7391643524,7.89997959137,7.68237495422,7.85584306717,7.92871999741,8.06164360046,7.20764732361,7.3990778923,7.52225065231,7.50428771973,7.26461458206
10,25.1472164154,18.4507358551,7.999852085114,7.488583469392,24.5765171051,24.7951488495,24.9362831116,25.3694400787,26.0586929321,18.1140632629,18.2608451843,19.1245918274,18.6657752991,18.0884037018,7.91794252396,8.12117671967,7.97952890396,7.97644948959,8.00416278839,7.50890684128,7.63259267807,7.44937372208,7.40831613541,7.44372797012
11,26.9433807373,18.19289398192,8.26446800232,7.755970573426,26.3902339935,25.5788345337,25.5326442719,29.3391895294,27.876001358,18.0011558533,18.0996932983,17.8369255066,18.5272045135,18.4994907379,8.20585823059,8.07652664185,8.21817588806,8.42500305176,8.39677619934,7.53456783295,7.61360359192,8.03239059448,7.61052417755,7.98876667023
12,28.4484462738,19.27547836304,8.47611942291,8.103419685364,28.8783187866,27.6404342651,29.1723937988,28.5164985657,28.0345859528,19.1297245026,18.3845310211,18.8838920593,20.0211849213,19.9580593109,8.70881271362,8.27052402496,8.41165924072,8.53329181671,8.45630931854,7.90254592896,8.01750659943,7.98466110229,8.30285644531,8.30952835083
13,28.56915626524,21.38296089174,8.937914085388,8.418330955506,29.8108386993,27.3083820343,28.5955352783,28.0489578247,29.0820674896,21.2226314545,21.5305633545,21.215959549,21.6029262543,21.3427238464,8.80683803558,8.98543834686,8.76167488098,8.88997936249,9.24563980103,8.69957542419,8.41987037659,8.37522029877,8.29567146301,8.30131721497
14,31.65247192382,22.6163291931,9.282078361514,8.856927871704,32.0510368347,30.8767929077,30.9532623291,32.3302307129,32.0510368347,22.0761146545,23.6588821411,22.117685318,23.4920864105,21.7368774414,9.20252990723,9.12605953217,9.33545303345,9.50430202484,9.24204730988,8.71907711029,8.70983886719,8.96850204468,8.8874130249,8.99980831146
15,33.724029541,21.59902648926,9.466939735414,9.15808467865,34.7941932678,34.2825164795,33.3910522461,32.4251747131,33.7272109985,21.3904533386,21.2339229584,22.645275116,21.309879303,21.4156017303,9.6598072052,9.32775497437,9.70804977417,9.39447307587,9.24461364746,9.06447410583,9.15941905975,9.15326023102,9.53920078278,8.87406921387
16,34.58367156984,24.17918319702,9.590009880066,9.15705833435,32.8680839539,35.6528091431,35.6558876038,34.1634483337,34.5781288147,24.5908870697,23.4058647156,23.4027862549,24.8233757019,24.673002243,9.71728801727,9.569480896,9.67982292175,9.65364933014,9.32980823517,9.45759963989,9.14402294159,9.00134754181,9.20868778229,8.97363376617
17,36.5840965271,26.47265624998,10.31293010712,9.8761806488,35.9561233521,36.5150184631,37.2330093384,36.9204597473,36.2958717346,26.412815094,25.4284610748,25.9873561859,28.0140571594,26.5205917358,10.2823419571,10.0118761063,10.6272258759,10.2931194305,10.3500871658,9.84405326843,9.67212486267,9.76655673981,9.74551486969,10.3526535034
18,39.95317382814,29.1250743866,10.43569221498,9.985291099558,41.1226959229,43.9258995056,39.3064155579,38.3246269226,37.0862312317,29.5829677582,29.5501232147,28.6740570068,28.2501392365,29.5680847168,10.4676141739,10.122218132,10.6380033493,10.6487808228,10.3018445969,10.0072565079,9.90204715729,9.8707408905,10.0000715256,10.1463394165
19,40.07542266848,31.00345611572,10.85098876952,10.40181961062,42.5591964722,38.4180335999,39.8750610352,38.147567749,41.3772544861,30.9106655121,30.8264980316,31.0384578705,30.8788471222,31.3628120422,10.9777536392,10.8155765533,10.8135242462,10.8571472168,10.7909421921,10.3233995438,10.3377695084,10.5630731583,10.2946596146,10.490196228
